TestId,Date,Time,Athlete Code,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
Ti1Lple6GJJT3E15AwvA,10/9/2023,18:28:27,VB001,Countermovement Jump,,,759.672,0.2368,166.9331,-0.2646,4277.4566,-5661.3364,1498,197.1904,1195.4277,157.361,1498,197.1904,1345.4755,177.1127,1553,204.4303,0.309,40.2344,0.173,22.526,0.286,37.2396,0.454,0.768,75.0127,168.2753,591.9775,243.2881,2.2433,-0.6339,-0.9765,1.3289,2.1557,2.318,-694.9637,-8.9744,-938.6982,-12.1218,1641.4078,21.1963,39.4229,3052.8509,-3.2043,725,773,-8.8134,545.0347,650.3931,-2.2537,759,794,-4.7369,640.8706,704.6049,8.9189,2329.4798,1947.9769,-16.2523,-9.0339,N/A,-10393.6517,3283,1016.8103,432.1602,-7.7064,1515,1768,-6.5216,475.249,541.5613,N/A,0.5911,0.3084,206.436,2.6658,0.9687,385.5415,4.9787,2.173
FjMSExJBt1BjDK4PzlxC,10/9/2023,18:28:18,VB001,Countermovement Jump,,,760.521,0.2386,167.7496,-0.2287,5264.1509,-6990.7945,1599,210.2506,1207.2075,158.7343,1596,209.8561,1414.7121,186.0188,1664,218.7974,0.339,44.9007,0.159,21.0596,0.257,34.0397,0.452,0.755,70.6017,168.9086,555.887,239.5103,2.3924,-0.6078,-0.9163,1.3787,2.1638,2.33,-666.9217,-8.6027,-872.4242,-11.2534,1757.8399,22.6745,40.5509,3143.7086,-4.8872,759,837,-5.3578,571.2642,635.9434,-4.3269,796,868,-6.5606,660.9494,753.7626,-0.3584,2622.6415,2641.5094,-10.1895,-12.2994,N/A,-16394.8255,3857,891.9934,507.1523,-11.9004,1699,2158,-3.5143,430.3231,461.6703,N/A,0.5987,0.3161,191.5245,2.4705,0.9107,364.3625,4.6999,2.1788
izT6pipqgDtttYLQKTYn,10/4/2023,18:29:38,VB001,Countermovement Jump,,,756.168,0.2424,168.1036,-0.2399,4738.3721,-6564.6642,1575,208.287,1197.5,158.3643,1573,208.0226,1406.8301,186.0473,1641,217.0153,0.29,40.2219,0.172,23.8558,0.259,35.9223,0.456,0.721,75.4986,169.291,570.698,244.7896,2.2423,-0.6487,-0.9854,1.3703,2.1809,2.3384,-708.1531,-9.1871,-941.5906,-12.2155,1747.0507,22.665,40.9486,3156.3707,-5.2765,745,828,-5.7096,564.564,632.936,-2.3766,801,840,-5.8948,661.9498,744.8803,-11.9018,2087.2093,2651.1628,-10.7797,-11.1232,N/A,-11681.1285,3220,930.0418,425.8313,-20.6832,1277,1943,-24.2873,352.0798,577.962,N/A,0.6325,0.3362,205.5595,2.6668,0.9795,365.1385,4.7371,2.1963
AWHHJKUgr9K2CKhGuvTn,10/4/2023,18:29:32,VB001,Countermovement Jump,,,757.011,0.2369,166.3786,-0.2508,3606.7961,-6004.7725,1506,198.9403,1109.8398,146.6081,1502,198.4119,1377.855,182.0125,1626,214.7921,0.292,38.0704,0.206,26.8579,0.269,35.0717,0.45,0.767,72.3082,167.745,599.6335,240.0533,2.3199,-0.6407,-0.9452,1.3464,2.1561,2.3271,-652.3434,-8.4536,-823.9852,-10.6779,1689.0114,21.8877,40.6307,3135.3632,-6.3915,703,799,-9.5785,501.767,608.0728,-3.075,788,838,-7.2979,638.6506,739.2045,-7.4024,1669.9029,1936.8932,-17.4885,-13.5942,930,-9071.1484,2345,940.3763,309.7709,-27.1642,854,1491,-4.338,449.7914,490.5849,-8.319,0.5867,0.3089,228.2525,2.9579,0.937,371.381,4.8127,2.1738
vo1zXSJhZG7tuYB0WwXm,10/2/2023,18:32:08,VB001,Countermovement Jump,,,762.028,0.2472,171.0717,-0.2616,3843.75,-5736.7238,1501,196.9744,1147.9427,150.6431,1499,196.7119,1362.0804,178.7441,1542,202.3548,0.337,41.3497,0.192,23.5583,0.286,35.092,0.455,0.815,73.7256,172.35,610.325,246.0756,2.3377,-0.6371,-0.9561,1.3579,2.2023,2.353,-670.3896,-8.6303,-865.6103,-11.1435,1696.3025,21.8374,39.5933,3075.552,-8.8726,683,816,-12.3523,503.0729,644.8698,-4.1505,739,803,-5.9527,640.5,721.5804,-14.3631,1645.8333,2197.9167,-21.9825,-11.2403,1000,-9569.7829,3250,938.653,426.4935,-11.7538,1434,1816,-4.4512,448.436,490.217,-8.527,0.5583,0.3033,220.035,2.8326,0.9491,390.29,5.0244,2.2188
ABbyNFMWnx2WwQSnzDRn,10/2/2023,18:31:59,VB001,Countermovement Jump,,,762.788,0.2378,167.9473,-0.2678,3159.8174,-5430.1681,1454,190.6165,1089.0868,142.7771,1454,190.6165,1334.9524,175.0096,1528,200.3178,0.345,40.2098,0.219,25.5245,0.294,34.2657,0.442,0.858,71.1139,168.9268,631.351,240.0408,2.3754,-0.6354,-0.9177,1.2998,2.1599,2.3054,-634.2085,-8.1564,-792.8326,-10.1964,1611.1096,20.72,38.8061,3017.4101,-4.9519,691,763,-6.2865,510.3105,578.7763,-4.4503,730,798,-4.8686,634.9796,699.9728,-2.6012,1538.8128,1621.0046,-11.8385,-9.2781,N/A,-7008.9554,3764,847.5438,493.453,6.3231,2001,1763,2.9709,436.3616,411.1823,N/A,0.5152,0.2771,238.1645,3.063,0.9146,393.1865,5.0567,2.1725
5gI0vCVtTaUBJP3oM3SZ,9/18/2023,18:34:07,VB001,Countermovement Jump,,,737.926,0.242,163.9125,-0.2312,4422.8571,-6534.8786,1511,204.7631,1139.4629,154.4142,1511,204.7631,1359.6629,184.2546,1610,218.1791,0.373,45.936,0.175,21.5517,0.264,32.5123,0.45,0.812,69.8799,164.877,558.7065,234.757,2.3594,-0.6481,-0.9324,1.3591,2.1791,2.3497,-665.088,-8.8417,-868.8158,-11.5501,1682.363,22.3654,41.6962,3136.465,-11.9788,665,846,-16.4589,475.96,663.5029,-5.3416,762,848,-9.2433,616.9924,742.6705,-9.3023,2005.7143,2417.1429,-28.2856,-16.9268,N/A,-14937.1055,3965,1130.7761,537.3167,-20.0504,1585,2380,-20.4349,449.8514,680.9246,N/A,0.5542,0.298,199.017,2.6457,0.929,359.6895,4.7817,2.1919
9OjoaM5nWLCNDFA8EcaT,9/18/2023,18:34:01,VB001,Countermovement Jump,,,737.92,0.2545,168.1026,-0.2639,3434.3434,-5373.3823,1418,192.1618,1081.7172,146.59,1418,192.1618,1330.7958,180.3442,1534,207.8816,0.348,41.9277,0.198,23.8554,0.284,34.2169,0.458,0.83,67.7308,169.0717,592.48,236.8026,2.4962,-0.6238,-0.9038,1.3179,2.2348,2.3569,-615.4779,-8.1822,-782.6563,-10.4047,1636.7832,21.7596,40.6504,3057.7719,-6.347,664,754,-8.8916,492.7677,588.9495,-5.2151,727,807,-4.2466,637.1408,693.6549,-2.6471,1671.7172,1762.6263,-16.3471,-8.1519,N/A,-13115.9138,2815,943.7476,381.4777,8.9876,1534,1281,11.5789,526.5114,417.2361,N/A,0.5518,0.3067,213.839,2.8428,0.9004,378.641,5.0337,2.2477
PJfuZwedegMadr9o9j8u,10/9/2023,18:29:40,VB002,Countermovement Jump,,,603.627,0.26,138.9705,-0.337,4451.8072,-3979.0786,1341,222.1571,1014.5,168.0674,1344,222.6541,1056.5747,175.0377,1341,222.1571,0.38,44.4965,0.166,19.4379,0.308,36.0656,0.476,0.854,67.8349,140.1659,494.12,208.0008,2.0663,-0.7521,-1.1124,1.3536,2.2585,2.3661,-683.3214,-11.1052,-906.2344,-14.7279,1328.7289,21.5942,40.3302,2481.5917,-5.6548,634,710,-3.9446,487.241,527.259,-6.3386,628,713,-3.909,507.6364,548.9383,-6.0893,2090.3614,2361.4458,-7.5817,-7.5378,N/A,-4636.4765,2274,742.2403,376.7227,1.3193,1152,1122,1.0764,375.1149,367.1254,N/A,0.5574,0.3044,168.037,2.7309,1.1024,326.083,5.2994,2.2779
SPyD58slNgw4UFlGzgD0,10/9/2023,18:29:33,VB002,Countermovement Jump,,,603.615,0.2631,139.7885,-0.3371,3445.0549,-3648.9348,1230,203.7723,990.1813,164.0419,1242,205.7603,1029.8384,170.6118,1237,204.932,0.373,42.2424,0.182,20.6116,0.328,37.1461,0.478,0.883,70.0401,140.3973,518.281,210.4373,2.0045,-0.7446,-1.1389,1.2778,2.2719,2.3752,-668.7007,-10.8678,-910.0918,-14.7909,1257.4456,20.4361,41.9684,2582.3422,-4.1868,595,647,-0.864,490.8132,499.3681,-3.6378,596,641,-4.049,494.0701,535.7683,-13.5566,1489.011,1956.044,-1.6691,-7.7883,N/A,-4559.3069,1838,738.9759,304.4987,-6.8553,856,982,5.0485,388.1417,350.8342,N/A,0.5413,0.2979,179.898,2.9237,1.1383,338.383,5.4994,2.2817
