"","TestId","Date","Time","Athlete Code","Type","Excluded","Tags","System Weight","Jump Height","Jump Momentum","Countermovement Depth","Braking RFD","Stiffness","Force at Min Displacement","Relative Force at Min Displacement","Avg. Braking Force","Avg. Relative Braking Force","Peak Braking Force","Peak Relative Braking Force","Avg. Propulsive Force","Avg. Relative Propulsive Force","Peak Propulsive Force","Peak Relative Propulsive Force","Unweighting Phase","Unweighting Phase %","Braking Phase","Braking Phase %","Propulsive Phase","Propulsive Phase %","Flight Time","Time To Takeoff","Braking Net Impulse","Propulsive Net Impulse","Positive Impulse","Positive Net Impulse","Impulse Ratio","Avg. Braking Velocity","Peak Braking Velocity","Avg. Propulsive Velocity","Takeoff Velocity","Peak Velocity","Avg. Braking Power","Avg. Relative Braking Power","Peak Braking Power","Peak Relative Braking Power","Avg. Propulsive Power","Avg. Relative Propulsive Power","Peak Relative Propulsive Power","Peak Propulsive Power","L|R Peak Braking Force","Left Force at Peak Braking Force","Right Force at Peak Braking Force","L|R Avg. Braking Force","Left Avg. Braking Force","Right Avg. Braking Force","L|R Peak Propulsive Force","Left Force at Peak Propulsive Force","Right Force at Peak Propulsive Force","L|R Avg. Propulsive Force","Left Avg. Propulsive Force","Right Avg. Propulsive Force","L|R Avg. Braking RFD","Left Avg. Braking RFD","Right Avg. Braking RFD","L|R Braking Impulse Index","L|R Propulsive Impulse Index","Time to Stabilization","Landing Stiffness","Peak Landing Force","Avg. Landing Force","Relative Peak Landing Force","L|R Peak Landing Force","Left Force at Peak Landing Force","Right Force at Peak Landing Force","L|R Avg. Landing Force","Left Avg. Landing Force","Right Avg. Landing Force","L|R Landing Impulse Index","RSI","mRSI","Braking Impulse","Relative Braking Impulse","Relative Braking Net Impulse","Propulsive Impulse","Relative Propulsive Impulse","Relative Propulsive Net Impulse","L_R_Diff_Peak_Propulsive","L_R_Total_Peak_Propulsive","Peak_Propulsive_Asymmetry_Index","L_R_Diff_Peak_Landing","L_R_Total_Peak_Landing","Peak_Landing_Asymmetry_Index","L_R_Diff_Peak_Braking","L_R_Total_Peak_Braking","Peak_Braking_Asymmetry_Index"
"1","w5X4QV2ZSkpGvln0VTGm","10/17/2023",08:27:06,"MFB001","Countermovement Jump",NA,NA,1156.691,0.2284,249.5928,-0.1435,11866.6667,-19369.6281,2779,240.2543,1757.8667,151.9737,2760,238.6117,2589.8914,223.9052,3382,292.3858,0.325,51.1811,0.135,21.2598,0.175,27.5591,0.432,0.635,80.3527,252.1776,691.1045,332.5303,3.1384,-0.4917,-0.6938,1.3813,2.1168,2.2546,-778.9017,-6.6059,-928.7564,-7.8769,3114.2266,26.412,45.9755,5420.9448,-5,1311,1449,-6.234,824.1407,933.7259,-0.1774,1688,1694,-0.5942,1287.2514,1302.64,1.2484,6007.4074,5859.2593,-11.7822,-1.2128,NA,-30108.8099,6007,1410.457,519.3263,-5.6101,2835,3172,-48.2238,365.1406,1045.3164,NA,0.6803,0.3597,236.506,2.0058,0.6815,454.5985,3.8555,2.1387,6,3382,0.177409816676523,337,6007,5.61012152488763,138,6007,2.29731979357416
"2","Q0KURiUnxN3PxbA8t8Ql","10/17/2023",08:27:00,"MFB001","Countermovement Jump",NA,NA,1149.796,0.2155,241.0067,-0.1226,14495.8678,-23962.8008,2939,255.6106,1852.0909,161.08,2905,252.6535,2643.7716,229.934,3640,316.5779,0.233,45.155,0.121,23.4496,0.162,31.3953,0.42,0.516,84.0922,243.4635,652.948,327.5557,2.8952,-0.4855,-0.7289,1.392,2.0563,2.1809,-815.5598,-6.9583,-1067.5575,-9.1083,3137.3142,26.7674,43.3307,5078.6403,-1.2737,1434,1471,-4.2726,886.4793,965.6116,1.8132,1853,1787,-0.562,1314.4568,1329.3148,-1.4823,7140.4959,7355.3719,-8.2151,-1.1202,730,-83419.9042,7523,1496.0795,654.29,-6.4203,3520,4003,0.4457,751.374,744.7055,0.8487,0.814,0.4176,223.2175,1.9045,0.7175,429.7305,3.6664,2.0772,66,3640,1.81318681318681,483,7523,6.42031104612522,37,7523,0.49182506978599
"3","OeUUc4egcTwtAzuTMpS5","10/10/2023",07:27:12,"MFB001","Countermovement Jump",NA,NA,1125.637,0.261,259.6634,-0.1487,14703.3898,-19397.7515,2885,256.2993,1877.0339,166.753,2865,254.5226,2659.5941,236.2746,3399,301.9624,0.291,50.2591,0.118,20.38,0.17,29.361,0.456,0.579,87.7928,262.1887,674.165,349.9815,2.9864,-0.5375,-0.7775,1.4444,2.263,2.369,-898.9356,-7.8343,-1108.9791,-9.6648,3361.5087,29.2958,48.7457,5593.273,-3.5951,1381,1484,-1.6245,923.2712,953.7627,-0.7355,1687,1712,-0.976,1316.8176,1342.7765,-0.634,7305.0847,7398.3051,-3.2041,-1.9566,NA,-52172.8341,7976,1433.4394,708.5766,-35.3811,2577,5399,35.8167,973.4254,460.0141,NA,0.7876,0.4508,220.618,1.9227,0.7651,453.547,3.9527,2.285,25,3399,0.735510444248308,2822,7976,35.3811434302909,103,7976,1.2913741223671
"4","yYsOacrFeriDbKb2aMx5","10/10/2023",07:27:07,"MFB001","Countermovement Jump",NA,NA,1125.883,0.2376,247.7731,-0.1458,12722.2222,-18727.6527,2731,242.5652,1848.0397,164.1414,2731,242.5652,2582.7412,229.3969,3385,300.6529,0.314,51.4754,0.126,20.6557,0.17,27.8689,0.438,0.61,90.1832,249.0149,672.4595,339.1981,2.7612,-0.5248,-0.7871,1.4016,2.1589,2.2686,-872.9413,-7.6061,-1113.0504,-9.6982,3158.362,27.5193,45.0328,5168.36,-2.8195,1327,1404,-5.0869,877.0159,971.0238,2.9247,1742,1643,0.2542,1294.6529,1288.0882,7.9226,6865.0794,5857.1429,-9.7622,0.4951,NA,-45101.5591,6723,1466.187,597.1313,-16.0494,2822,3901,-8.8784,668.0068,798.1802,NA,0.718,0.3894,232.0445,2.0218,0.7858,440.415,3.8374,2.1697,99,3385,2.92466765140325,1079,6723,16.0493827160494,77,6723,1.14532202885617
"5","0Frrvee5OdlD67akbXcZ","10/3/2023",07:26:35,"MFB001","Countermovement Jump",NA,NA,1164.178,0.2217,247.5024,-0.1484,9373.3333,-17421.2836,2586,222.131,1758.98,151.092,2569,220.6707,2519.8743,216.4509,3254,279.5105,0.393,54.1322,0.15,20.6612,0.183,25.2066,0.424,0.726,88.5108,249.3639,725.546,337.8747,2.8173,-0.4998,-0.752,1.3407,2.0856,2.2207,-805.5542,-6.788,-1053.4186,-8.8767,2977.7702,25.0923,44.42,5271.4318,-5.4885,1214,1355,-5.3717,832.2467,926.7333,0.1844,1630,1624,-0.9995,1247.3443,1272.5301,-1.707,4606.6667,4766.6667,-10.2125,-2.0079,NA,-49417.7858,5725,1410.6307,491.7633,-6.0961,2688,3037,-29.5209,497.0996,913.5311,NA,0.584,0.3054,263.1375,2.2173,0.7458,462.4085,3.8965,2.1013,6,3254,0.184388444990781,349,5725,6.09606986899563,141,5725,2.46288209606987
"6","ZyO4AybqbPV9MdJDCzGA","10/3/2023",07:26:30,"MFB001","Countermovement Jump",NA,NA,1162.824,0.2023,236.1778,-0.1407,8975.1553,-18509.247,2605,224.0236,1690.3416,145.3652,2605,224.0236,2492.7865,214.3735,3315,285.0818,0.249,42.3469,0.161,27.381,0.178,30.2721,0.407,0.588,84.2008,238.0203,716.4185,322.2212,2.8268,-0.4956,-0.7164,1.31,1.9925,2.1276,-765.21,-6.4556,-956.038,-8.0655,2851.6304,24.0574,41.6358,4935.28,1.9578,1328,1277,3.9997,878.9752,811.3665,0.2715,1662,1653,0.2781,1249.8596,1242.927,7.128,4807.4534,4167.7019,7.6759,0.5683,NA,-61625.1347,7048,1497.8613,606.1106,-9.9886,3172,3876,1.7808,762.2677,735.5936,NA,0.6922,0.3441,271.4155,2.2898,0.7103,445.003,3.7542,2.008,9,3315,0.271493212669683,704,7048,9.98864926220204,51,7048,0.72360953461975
"7","Jh0lS1jnkordok8XEtzv","9/26/2023",07:26:04,"MFB001","Countermovement Jump",NA,NA,1141.822,0.2005,230.8308,-0.1376,12270.6767,-20279.1759,2790,244.3463,1790.9248,156.848,2776,243.1202,2475.7356,216.8233,3175,278.0644,0.28,47.7002,0.133,22.6576,0.174,29.6422,0.419,0.587,85.5092,233.4665,669.515,318.9756,2.7303,-0.5316,-0.7478,1.2981,1.9832,2.0931,-851.6416,-7.3169,-1026.0102,-8.815,2804.0196,24.0908,39.9299,4647.5831,-0.8646,1376,1400,-2.2616,875.2105,915.7143,1.1024,1605,1570,0.6672,1246.1264,1229.6092,-7.2304,5691.7293,6578.9474,-4.3894,1.317,NA,-207.9604,7446,1249.0709,652.1157,-12.5436,3256,4190,38.6118,865.68,383.3909,NA,0.7138,0.3415,237.3715,2.0394,0.7347,432.1435,3.7128,2.0058,35,3175,1.10236220472441,934,7446,12.5436475960247,24,7446,0.32232070910556
"8","HSRX9ogYN0pKVYDTbDhg","9/26/2023",07:25:58,"MFB001","Countermovement Jump",NA,NA,1140.397,0.2225,242.8858,-0.1292,17036.3636,-23366.079,3018,264.6447,1927.2091,168.9946,3018,264.6447,2697.4936,236.5399,3709,325.2376,0.278,51.1029,0.11,20.2206,0.156,28.6765,0.422,0.544,85.6063,244.3961,633.348,330.0024,2.8549,-0.5065,-0.7399,1.4086,2.0894,2.2058,-866.8313,-7.4567,-1100.2599,-9.4647,3240.335,27.8742,45.1798,5252.0855,0.9278,1523,1495,-11.8169,849.7364,1077.4727,1.7525,1887,1822,1.8305,1373.4359,1324.0577,16.3287,9909.0909,7127.2727,-21.3348,3.5919,NA,-76607.6686,6609,1337.5769,579.535,-5.0386,3138,3471,10.1365,736.5801,600.9967,NA,0.7757,0.409,211.05,1.8155,0.7364,422.298,3.6327,2.1024,65,3709,1.75249393367484,333,6609,5.03858374943259,28,6609,0.42366469965199
"9","yFn8k4HIlrMMlG0rP6ti","9/19/2023",07:25:02,"MFB001","Countermovement Jump",NA,NA,1136.26,0.218,239.5209,-0.1564,11014.4928,-17040.6001,2665,234.5414,1763.8551,155.2334,2656,233.7493,2451.1257,215.7187,3138,276.1692,0.368,53.4107,0.138,20.029,0.183,26.5602,0.41,0.689,85.8461,241.9339,692.5195,327.78,2.8182,-0.5454,-0.7524,1.3299,2.0679,2.1889,-857.2435,-7.4011,-1070.923,-9.2459,2870.7553,24.7849,42.3918,4910.1061,0.753,1338,1318,3.7484,914.9855,848.8696,1.4659,1592,1546,0.1516,1227.4208,1223.7049,3.5526,5702.8986,5311.5942,7.2256,0.303,NA,0,6488,1174.5197,570.9961,-10.111,2916,3572,46.0314,857.5839,316.9357,NA,0.5951,0.3163,242.65,2.0949,0.7412,449.8695,3.884,2.0888,46,3138,1.46590184831103,656,6488,10.1109741060419,20,6488,0.30826140567201
"10","sSzL7yFPME14N6IsYtIL","9/19/2023",07:24:54,"MFB001","Countermovement Jump",NA,NA,1135.823,0.1873,221.9525,-0.1112,16807.6923,-26185.6571,2913,256.466,1802.5096,158.6963,2879,253.4726,2631.2282,231.6583,3710,326.6354,0.262,50.8738,0.104,20.1942,0.149,28.932,0.382,0.515,68.4549,224.2359,580.054,292.6908,3.2757,-0.4222,-0.6015,1.3101,1.917,2.0346,-680.984,-5.8816,-820.3806,-7.0856,2922.97,25.2454,41.3626,4789.0465,3.0219,1483,1396,3.0742,928.9615,873.5481,3.4501,1919,1791,2.9356,1354.2349,1276.9933,4.0046,8740.3846,8067.3077,5.9546,5.7041,NA,-487092.987,7512,1616.888,661.3707,-15.1757,3186,4326,-8.4233,740.3467,876.5413,NA,0.7417,0.3637,186.5805,1.6115,0.5912,393.4735,3.3984,1.9367,128,3710,3.45013477088949,1140,7512,15.1757188498403,87,7512,1.15814696485623
