TestId,Date,Athlete Code,Stage,L|R Peak Force,L|R Avg. Force
w5X4QV2ZSkpGvln0VTGm,10/17/2023,MFB001,Braking,-5.0,-6.234
Q0KURiUnxN3PxbA8t8Ql,10/17/2023,MFB001,Braking,-1.2737,-4.2726
OeUUc4egcTwtAzuTMpS5,10/10/2023,MFB001,Braking,-3.5951,-1.6245
yYsOacrFeriDbKb2aMx5,10/10/2023,MFB001,Braking,-2.8195,-5.0869
0Frrvee5OdlD67akbXcZ,10/3/2023,MFB001,Braking,-5.4885,-5.3717
ZyO4AybqbPV9MdJDCzGA,10/3/2023,MFB001,Braking,1.9578,3.9997
Jh0lS1jnkordok8XEtzv,9/26/2023,MFB001,Braking,-0.8646,-2.2616
HSRX9ogYN0pKVYDTbDhg,9/26/2023,MFB001,Braking,0.9278,-11.8169
yFn8k4HIlrMMlG0rP6ti,9/19/2023,MFB001,Braking,0.753,3.7484
sSzL7yFPME14N6IsYtIL,9/19/2023,MFB001,Braking,3.0219,3.0742
9N3U37gUFDuyhBBGc2Zm,9/12/2023,MFB001,Braking,1.1144,-2.8382
69F3PXGlEZ7N8BaodduP,9/12/2023,MFB001,Braking,5.1952,6.9497
YhrcFN7zmjGDncvePaK8,8/29/2023,MFB001,Braking,-6.9607,-6.3497
pLwh8PPDiVw4gcCfvOUd,8/29/2023,MFB001,Braking,-1.9376,-12.2261
RXudTRvzIOepqBJctXgD,8/29/2023,MFB001,Braking,-7.6588,-8.0959
nDdC599QhQOc3tRdx45s,10/17/2023,MFB002,Braking,2.1392,1.9883
U38PRguYbDsKF4zzlA1O,10/17/2023,MFB002,Braking,3.7093,7.9401
uZ9epEzXYWBivu0ryh4V,10/10/2023,MFB002,Braking,-1.8957,2.0172
pNY4vDu0OCBnEzvqvNjG,10/10/2023,MFB002,Braking,0.6595,4.864
iCNuWoFbMpemfTMKKWyD,10/3/2023,MFB002,Braking,-6.9187,-6.5379
hwxpiGtBD0OBp7Q6GrT2,10/3/2023,MFB002,Braking,-0.8716,4.0477
WgM1YkpJ5BeYPLAsbkzM,9/26/2023,MFB002,Braking,-0.8234,-3.2171
TV28T2CXWnIkwa73q9ua,9/26/2023,MFB002,Braking,-3.8152,-0.0164
hgdC465MTalZgyKCxcrP,9/19/2023,MFB002,Braking,2.2817,3.0426
ACjxpcGWetFqlEdTuDTi,9/19/2023,MFB002,Braking,-1.7073,1.0706
eLyrqUVKtp0q7SSNUBO1,9/12/2023,MFB002,Braking,-2.6361,2.4317
ycWH89JEMVsO6RHSgdD7,9/12/2023,MFB002,Braking,-1.8956,5.8803
E9kS7eXZmyrDWK4AOiub,8/29/2023,MFB002,Braking,1.8157,-1.0602
VUKKOLPNUFxyyVbzwFJm,8/29/2023,MFB002,Braking,5.1986,9.4796
0MRSITyiTVqSqsKp9cV5,8/29/2023,MFB002,Braking,-2.7633,1.1993
mX5xoCk7X8uQiLXwfl9d,9/19/2023,MFB003,Braking,2.0425,2.7465
10yJ99n6w2N1VBsB3gwv,9/19/2023,MFB003,Braking,1.2636,2.4314
OpXDIPGHFr8uMgfPwY6K,9/12/2023,MFB003,Braking,0.2022,-1.0669
gfxWf87RaVoHj1hUKN7U,9/12/2023,MFB003,Braking,0.4691,3.7577
V1LN3FYLDIuiLC3q00OR,8/29/2023,MFB003,Braking,-0.463,3.7969
k4EKh6FqRHi3XowIOK6E,8/29/2023,MFB003,Braking,-0.2683,4.2066
OnHi7i7tCqBBq7JytbOC,8/29/2023,MFB003,Braking,3.3871,6.4524
LNQFowxpCNzSV0aXVxED,10/17/2023,MFB004,Braking,-3.3284,-9.604
qwGjiDVyUfklx7R0Jq0Q,10/17/2023,MFB004,Braking,-3.0754,-6.8909
j4P5KESxPj0suM6qe8ly,10/10/2023,MFB004,Braking,0.8616,-8.2299
SpL6hZ7T1419xah0YkwV,10/10/2023,MFB004,Braking,1.7159,-0.2113
TH7t1NtsipjtCubmO2gK,10/3/2023,MFB004,Braking,-2.7703,-4.1216
ytQy40BLT4dTa55FkZmm,10/3/2023,MFB004,Braking,3.7975,-2.9034
6QjJPG22RxJv55twAlPE,9/26/2023,MFB004,Braking,-2.9525,-6.3215
1xnSyASn1yoz9r1ZL31k,9/26/2023,MFB004,Braking,1.6162,-7.0375
DHZVa9snSe2G5mOBHOwN,9/19/2023,MFB004,Braking,-1.6608,-7.7508
cwskuh1nRDDN7jXRqnek,9/19/2023,MFB004,Braking,-1.1246,-6.3393
ww2He56Z6WpxrJ66Z8nt,9/12/2023,MFB004,Braking,-3.8407,-10.4069
j0eFebIVkqSsmkHWWRVf,9/12/2023,MFB004,Braking,1.8164,-1.8071
Ujm73Odk7akqmEhGUcJk,8/29/2023,MFB004,Braking,-2.0429,-1.3888
d4qtiepMMSY2DtbJMnRF,8/29/2023,MFB004,Braking,-0.6271,1.393
pmlOtictFRi6RQ9Bv5P5,8/29/2023,MFB004,Braking,0.8959,0.5486
Lw6HXhWt5WFXY2SxEnps,10/17/2023,MFB005,Braking,-0.71,5.5828
j0aTvjClbAocmRtEV8NY,10/17/2023,MFB005,Braking,9.792,5.2924
8OW9MzzhEF79xuszQDxs,10/10/2023,MFB005,Braking,7.7295,3.9935
mtiYonPtJMtIFxLBLkwG,10/10/2023,MFB005,Braking,17.6287,14.1092
whpILKmDrAuNcCv5oTkb,10/3/2023,MFB005,Braking,15.086,10.1739
T4BdDcRE6RiwktuW0xjZ,10/3/2023,MFB005,Braking,9.4228,11.5423
BTaD6zDccjQ0AczSFDs7,9/26/2023,MFB005,Braking,9.9307,8.2745
QP1qwhKOr8hkMHRqSL3R,9/26/2023,MFB005,Braking,15.1367,1.6799
G0Zh4v02rHt64OnlT1k9,9/19/2023,MFB005,Braking,3.6677,3.5506
4zxQKeVHjhfSOXcu9nCx,9/19/2023,MFB005,Braking,3.4103,-1.5683
fiLZ4Le0QbtwPLIRBQXs,9/12/2023,MFB005,Braking,-2.449,-4.2196
2TxKYdX7R5gK6u3w2Rtt,8/29/2023,MFB005,Braking,6.1805,1.5393
UAgsAWeHxpuHpmDNUhXG,8/29/2023,MFB005,Braking,7.9832,1.7836
USL2YT31lyWSwrsSR5ah,8/29/2023,MFB005,Braking,-7.8681,-3.4435
BnPvPv2i2wWOK8fAYLFa,10/17/2023,MFB006,Braking,6.9421,10.5618
rUErGLXdUEjdfqt6hP0H,10/17/2023,MFB006,Braking,2.5761,6.9529
n3Rs6svVkCtRLfZTzCOX,10/10/2023,MFB006,Braking,1.9821,3.2084
bG5AMMm6IC75GyBtNPyE,10/10/2023,MFB006,Braking,5.5062,10.8328
WjrCv3RaChumYqWjnufy,10/3/2023,MFB006,Braking,5.0816,7.5171
