TestId,Date,Athlete Code,Stage,L|R Peak Force,L|R Avg. Force,L|R Impulsive Index
YobBhsQiFo2T6JlfOrlV,10/3/2023,MBB01,Braking,2.7435,-4.7453,-9.2039
PJvzjOEfN4NrxGKPenV7,10/3/2023,MBB01,Braking,2.2029,5.9601,11.3562
Mhkf5N32gWxT7985JiG3,9/25/2023,MBB01,Braking,3.3729,-1.7294,-3.4687
zFjnjXmH7NnLi7PRCglk,9/25/2023,MBB01,Braking,5.7002,4.8418,9.2604
e8QLCRqJUwIgfzxwVodF,9/18/2023,MBB01,Braking,-3.8113,-8.8756,-16.4092
8x2GrsKtE3tDyQjAfgnP,9/18/2023,MBB01,Braking,-0.7295,-3.6872,-7.1194
pNF1XWYRtxLcmY9D3S83,10/3/2023,MBB02,Braking,-3.1977,0.1697,0.3998
UHfmd9QEU17hI0mDgKao,10/3/2023,MBB02,Braking,-8.6284,-10.5359,-19.0608
6PU1PrnrR4T4vgJbcp5k,9/25/2023,MBB02,Braking,-4.3118,-9.4534,-17.3307
rfy8x3j1BCR8CcPDDy7Q,9/25/2023,MBB02,Braking,-8.6849,-10.9466,-19.7625
STFVxV3apZSFwLT3Rs9A,9/18/2023,MBB02,Braking,2.0067,-5.1904,-9.9211
b45QYSLAIMELne8xYwpv,9/18/2023,MBB02,Braking,0.132,-3.0711,-5.9824
zd7RE7cq8dcvoVfIzp9p,10/3/2023,MBB03,Braking,-5.7456,-10.7471,-19.4733
eMnglquo04NZw6N5czTJ,10/3/2023,MBB03,Braking,-2.853,-8.5356,-15.8253
9zTKOTBOiiXP5VMoNnQE,9/25/2023,MBB03,Braking,-8.7926,-14.4693,-25.387
dTlHyesl2qsLVkHgtykH,9/25/2023,MBB03,Braking,-2.4536,-1.9977,-3.9304
8eeDJC80dnzNUAZutItA,9/18/2023,MBB03,Braking,-3.911,-2.12,-4.0798
AyH5pg5PDYIaLXGm8TXq,9/18/2023,MBB03,Braking,0.8029,2.4577,4.8498
0KAA9YbwQZRXJdYmhytg,10/3/2023,MBB04,Braking,5.467,6.7267,12.6577
jltdGVEJDfDYxFqJGyUH,10/3/2023,MBB04,Braking,7.084,8.3256,15.3991
ZtqvkbG0woA0zIkUieo0,9/25/2023,MBB04,Braking,6.272,1.0729,2.0414
XaLCOonBbaOgoYz4fKXF,9/25/2023,MBB04,Braking,3.4182,1.2716,2.438
A6sXBjCwzcQmcFmooxwa,9/18/2023,MBB04,Braking,-0.5336,-2.4551,-4.7947
OokjXlx09oOy9IjaHxVC,9/18/2023,MBB04,Braking,7.0297,3.0621,5.8012
dUDjKrBNqXlDyVLdF3vj,10/3/2023,MBB05,Braking,17.2992,16.9044,28.8756
ezOAG9i5Sp1Hk95PK8TP,10/3/2023,MBB05,Braking,9.0993,11.055,19.8555
zPYf3mbhjJSwvmhE1NxX,9/25/2023,MBB05,Braking,9.4746,4.6762,8.8287
IRwBaB9SOpLVF3jnBeUF,9/25/2023,MBB05,Braking,8.8859,5.1453,9.6378
rdnIDIlP3bHAAmIWvRQR,9/18/2023,MBB05,Braking,9.2077,4.4583,8.3392
9EqTE9gaXwuC7Es5IeYN,9/18/2023,MBB05,Braking,3.5496,3.1231,5.954
hMRdhcnwCdWek7oCp76C,10/3/2023,MBB06,Braking,-3.1052,4.5546,8.6169
wIM7QwfpZ5msUmAnUIW1,10/3/2023,MBB06,Braking,-7.3171,8.1206,15.0113
Q4jyyOntbI5tPYo2Cgkg,9/25/2023,MBB06,Braking,-12.7437,3.6826,7.1215
tQPjylMQ4swsYQzCpz57,9/25/2023,MBB06,Braking,5.3188,2.1546,4.1956
FVUpVBMhXCUhaxyDYGty,9/18/2023,MBB06,Braking,7.6227,0.9025,1.5625
ECMLaNIqZBBA4O8ySULz,9/18/2023,MBB06,Braking,5.3841,5.1825,9.8012
xqMfH6HQegfj5ul8kLvo,10/3/2023,MBB07,Braking,-2.9072,-5.5971,-10.5918
