"","TestId","Date","Time","Athlete Code","Type","Excluded","Tags","System Weight","Jump Height","Jump Momentum","Countermovement Depth","Braking RFD","Stiffness","Force at Min Displacement","Relative Force at Min Displacement","Avg. Braking Force","Avg. Relative Braking Force","Peak Braking Force","Peak Relative Braking Force","Avg. Propulsive Force","Avg. Relative Propulsive Force","Peak Propulsive Force","Peak Relative Propulsive Force","Unweighting Phase","Unweighting Phase %","Braking Phase","Braking Phase %","Propulsive Phase","Propulsive Phase %","Flight Time","Time To Takeoff","Braking Net Impulse","Propulsive Net Impulse","Positive Impulse","Positive Net Impulse","Impulse Ratio","Avg. Braking Velocity","Peak Braking Velocity","Avg. Propulsive Velocity","Takeoff Velocity","Peak Velocity","Avg. Braking Power","Avg. Relative Braking Power","Peak Braking Power","Peak Relative Braking Power","Avg. Propulsive Power","Avg. Relative Propulsive Power","Peak Relative Propulsive Power","Peak Propulsive Power","L|R Peak Braking Force","Left Force at Peak Braking Force","Right Force at Peak Braking Force","L|R Avg. Braking Force","Left Avg. Braking Force","Right Avg. Braking Force","L|R Peak Propulsive Force","Left Force at Peak Propulsive Force","Right Force at Peak Propulsive Force","L|R Avg. Propulsive Force","Left Avg. Propulsive Force","Right Avg. Propulsive Force","L|R Avg. Braking RFD","Left Avg. Braking RFD","Right Avg. Braking RFD","L|R Braking Impulse Index","L|R Propulsive Impulse Index","Time to Stabilization","Landing Stiffness","Peak Landing Force","Avg. Landing Force","Relative Peak Landing Force","L|R Peak Landing Force","Left Force at Peak Landing Force","Right Force at Peak Landing Force","L|R Avg. Landing Force","Left Avg. Landing Force","Right Avg. Landing Force","L|R Landing Impulse Index","RSI","mRSI","Braking Impulse","Relative Braking Impulse","Relative Braking Net Impulse","Propulsive Impulse","Relative Propulsive Impulse","Relative Propulsive Net Impulse"
"1","YobBhsQiFo2T6JlfOrlV","10/3/2023",16:23:36,"MBB01","Countermovement Jump",NA,NA,991.381,0.3436,262.4049,-0.2115,20361.7021,-13849.6246,2929,295.4465,2311.3617,233.1457,2916,294.1352,2432.9454,245.4097,3188,321.5716,0.292,51.3181,0.094,16.5202,0.183,32.1617,0.529,0.569,123.1062,265.2508,662.9695,388.357,2.1547,-0.7656,-1.2367,1.6938,2.5966,2.7084,-1581.1843,-15.6463,-2428.4518,-24.0302,3547.8369,35.1069,57.4752,5808.3398,2.7435,1498,1418,-4.7453,1100.8404,1210.5213,2.9486,1641,1547,3.7978,1262.6721,1170.2732,13.0617,11510.6383,8851.0638,-9.2039,7.2985,NA,-17573.1033,4738,1202.957,477.9192,8.4846,2570,2168,26.5074,760.9149,442.0421,NA,0.9297,0.6039,216.296,2.1403,1.2182,446.6735,4.42,2.6247
"2","PJvzjOEfN4NrxGKPenV7","10/3/2023",16:23:27,"MBB01","Countermovement Jump",NA,NA,992.232,0.3519,265.7533,-0.2079,20428.5714,-14436.5313,3002,302.5502,2339.0408,235.7353,2996,301.9455,2483.1844,250.2625,3197,322.2029,0.257,48.1273,0.098,18.3521,0.179,33.5206,0.529,0.534,130.9713,268.364,674.1835,399.3352,2.049,-0.8102,-1.3112,1.6951,2.6275,2.7308,-1691.0585,-16.7192,-2568.4229,-25.3935,3639.6335,35.9843,58.885,5955.9227,2.2029,1531,1465,5.9601,1239.2245,1099.8163,1.0322,1615,1582,3.0948,1280.0168,1203.1676,-7.6923,9428.5714,11000,11.3562,5.9871,1440,-27951.0419,4111,1172.5681,414.3184,8.1489,2223,1888,1.6789,596.1271,576.441,3.2764,0.9906,0.6589,228.21,2.2563,1.2949,445.9735,4.4093,2.6533
"3","Mhkf5N32gWxT7985JiG3","9/25/2023",17:18:09,"MBB01","Countermovement Jump",NA,NA,986.811,0.3593,267.0757,-0.2117,25755.814,-15147.4604,3207,324.9862,2645.1163,268.0469,3202,324.4796,2434.8649,246.7408,3252,329.5464,0.247,47.6834,0.086,16.6023,0.185,35.7143,0.541,0.518,141.4853,269.4755,678.3865,410.9607,1.9046,-0.852,-1.421,1.7663,2.655,2.7759,-2021.6938,-20.0979,-3276.4682,-32.5717,3666.4952,36.449,58.686,5903.3639,3.3729,1655,1547,-1.7294,1299.686,1345.4302,3.567,1684,1568,3.3695,1258.4541,1176.4108,5.4628,13581.3953,12174.4186,-3.4687,6.5049,680,-29834.505,5310,1373.7397,538.097,7.2316,2847,2463,13.0842,776.7412,596.9985,23.1341,1.0444,0.6936,226.351,2.2502,1.4065,452.0355,4.4937,2.6789
"4","zFjnjXmH7NnLi7PRCglk","9/25/2023",17:17:58,"MBB01","Countermovement Jump",NA,NA,987.045,0.3662,269.7123,-0.2096,20767.6768,-14528.5666,3045,308.4966,2306.7374,233.7013,3035,307.4834,2500.2458,253.3062,3255,329.7722,0.255,47.8424,0.099,18.5741,0.179,33.5835,0.541,0.533,129.606,272.3679,676.3725,401.974,2.1015,-0.8148,-1.305,1.743,2.6806,2.7886,-1669.6761,-16.5945,-2476.142,-24.6098,3747.4089,37.2446,61.1733,6155.0305,5.7002,1604,1431,4.8418,1209.2121,1097.5253,3.2873,1681,1574,3.8191,1297.8659,1202.3799,2.0428,10595.9596,10171.7172,9.2604,7.364,690,-25938.5603,4687,1367.9203,474.8517,7.1048,2510,2177,-7.0153,635.9783,731.942,-13.1038,1.015,0.6871,227.3235,2.2593,1.2881,449.049,4.463,2.707
"5","e8QLCRqJUwIgfzxwVodF","9/18/2023",17:18:36,"MBB01","Countermovement Jump",NA,NA,992.769,0.3747,274.3851,-0.2102,26811.7647,-15520.4274,3262,328.5759,2678.2,269.7707,3306,333.008,2465.0484,248.3003,3314,333.8138,0.277,50.5474,0.085,15.5109,0.186,33.9416,0.552,0.548,142.0996,275.46,686.6,417.5596,1.9385,-0.8616,-1.4055,1.7983,2.7113,2.8239,-2031.1411,-20.0706,-3076.4503,-30.3998,3792.3346,37.4738,59.4163,6012.9126,-3.8113,1590,1716,-8.8756,1220.2471,1457.9529,-2.3537,1618,1696,1.6356,1252.6828,1212.3656,3.8175,13917.6471,12894.1176,-16.4092,3.1791,1780,-28184.6061,4701,1146.9191,473.5241,33.3333,3134,1567,9.8834,630.1371,516.782,18.0162,1.0073,0.6837,226.485,2.238,1.4042,460.115,4.5466,2.7219
"6","8x2GrsKtE3tDyQjAfgnP","9/18/2023",17:18:25,"MBB01","Countermovement Jump",NA,NA,992.385,0.3721,273.3174,-0.2103,22298.9691,-15027.8499,3160,318.4248,2366.8144,238.4976,3153,317.7194,2527.4078,254.6802,3278,330.3154,0.255,48.0226,0.097,18.2674,0.179,33.71,0.548,0.531,132.2222,276.3301,682.4505,408.5522,2.0899,-0.8382,-1.3274,1.7487,2.7018,2.804,-1750.4726,-17.3039,-2565.2957,-25.3587,3805.5319,37.6187,61.7694,6248.6288,-0.7295,1565,1588,-3.6872,1139.7732,1227.0412,-2.4405,1599,1679,1.4385,1281.8827,1245.5251,-2.8202,10835.0515,11463.9175,-7.1194,2.8061,2250,-24986.8945,4222,1112.3467,425.4397,7.8636,2277,1945,7.6896,598.9409,513.4058,14.2774,1.032,0.7007,228.4835,2.2586,1.3071,453.967,4.4876,2.7316
"7","pNF1XWYRtxLcmY9D3S83","10/3/2023",16:22:34,"MBB02","Countermovement Jump",NA,NA,807.729,0.3659,220.6183,-0.2358,9137.6812,-8753.858,2064,255.5312,1571.0145,194.4977,2064,255.5312,1901.6683,235.434,2338,289.4535,0.22,39.2857,0.138,24.6429,0.202,36.0714,0.559,0.56,104.6954,221.9852,601.3085,326.6806,2.1203,-0.8194,-1.2788,1.6611,2.6794,2.7789,-1149.7003,-13.9633,-1551.8885,-18.8479,2810.1894,34.1302,57.6243,4744.6336,-3.1977,999,1065,0.1697,786.8406,784.1739,-1.1976,1155,1183,-2.9831,922.4703,979.198,-11.1816,4057.971,5079.7101,0.3998,-5.7837,740,-18573.1526,6454,1118.7514,799.0304,-1.3635,3183,3271,-0.8547,554.5946,564.1568,-1.7306,0.9982,0.6534,216.162,2.6253,1.2715,385.1465,4.6777,2.696
"8","UHfmd9QEU17hI0mDgKao","10/3/2023",16:22:22,"MBB02","Countermovement Jump",NA,NA,812.3,0.3626,220.8659,-0.2363,9022.7273,-8484.3375,2005,246.83,1471.5227,181.1551,2005,246.83,1946.1128,239.5806,2421,298.0426,0.37,53.0846,0.132,18.9383,0.195,27.977,0.556,0.697,86.4184,222.07,574.1105,308.4884,2.5697,-0.6935,-1.0489,1.6227,2.6674,2.7574,-908.4054,-10.9706,-1200.0641,-14.493,2834.0722,34.2266,59.6022,4935.2571,-8.6284,916,1089,-10.5359,658.2424,813.2803,-3.7588,1165,1256,-5.2296,922.1692,1023.9436,-10.8312,4022.7273,5000,-19.0608,-9.9491,570,-10730.9941,4733,1208.4386,582.6665,-6.1483,2221,2512,1.7299,614.6719,593.7667,3.3917,0.7977,0.5203,193.642,2.3386,1.0437,380.4685,4.5948,2.6819
"9","6PU1PrnrR4T4vgJbcp5k","9/25/2023",17:16:59,"MBB02","Countermovement Jump",NA,NA,809.124,0.3893,227.9383,-0.2001,24395.3488,-14490.6694,2899,358.2887,2166.686,267.7817,2899,358.2887,2197.8049,271.6277,3086,381.4001,0.267,51.6441,0.086,16.6344,0.164,31.7215,0.581,0.517,115.6803,229.1702,547.1315,344.8505,1.9811,-0.8856,-1.4084,1.877,2.7636,2.8742,-1667.6735,-20.2192,-2497.7874,-30.2837,3445.9002,41.7789,66.5295,5487.318,-4.3118,1387,1512,-9.4534,980.9302,1185.7558,-6.3513,1445,1641,-5.475,1038.7378,1159.0671,-3.1459,11813.9535,12581.3953,-17.3307,-10.3669,760,-16223.2107,5860,1128.4566,724.24,-0.8532,2905,2955,-8.2156,517.8737,610.5829,-15.1871,1.1238,0.7529,185.265,2.2462,1.4025,361.8665,4.3874,2.7785
"10","rfy8x3j1BCR8CcPDDy7Q","9/25/2023",17:16:42,"MBB02","Countermovement Jump",NA,NA,810.849,0.4019,232.1119,-0.1953,20303.0303,-14544.6057,2840,350.2502,1901.1414,234.4631,2821,347.9069,2260.0435,278.7256,3088,380.8354,0.261,50.096,0.099,19.0019,0.161,30.9021,0.58,0.521,106.9179,234.7098,552.4485,341.6278,2.1952,-0.8547,-1.3157,1.8644,2.8082,2.9102,-1415.6765,-17.1275,-1884.5395,-22.8,3542.901,42.8635,69.4984,5744.4179,-8.6849,1288,1533,-10.9466,846.5152,1054.6263,-2.4611,1506,1582,-3.6566,1088.7019,1171.3416,-7.7612,9363.6364,10939.3939,-19.7625,-7.0896,720,-20654.9707,5678,1138.6778,700.2537,-1.9373,2784,2894,7.5595,612.3778,526.3,14.037,1.1132,0.7715,187.192,2.2647,1.2935,365.2565,4.419,2.8396
