TestId,Date,Athlete Code,Stage,L|R Peak Force,L|R Avg. Force
Ti1Lple6GJJT3E15AwvA,10/9/2023,VB001,Braking,-3.2043,-8.8134
FjMSExJBt1BjDK4PzlxC,10/9/2023,VB001,Braking,-4.8872,-5.3578
izT6pipqgDtttYLQKTYn,10/4/2023,VB001,Braking,-5.2765,-5.7096
AWHHJKUgr9K2CKhGuvTn,10/4/2023,VB001,Braking,-6.3915,-9.5785
vo1zXSJhZG7tuYB0WwXm,10/2/2023,VB001,Braking,-8.8726,-12.3523
ABbyNFMWnx2WwQSnzDRn,10/2/2023,VB001,Braking,-4.9519,-6.2865
5gI0vCVtTaUBJP3oM3SZ,9/18/2023,VB001,Braking,-11.9788,-16.4589
9OjoaM5nWLCNDFA8EcaT,9/18/2023,VB001,Braking,-6.347,-8.8916
PJfuZwedegMadr9o9j8u,10/9/2023,VB002,Braking,-5.6548,-3.9446
SPyD58slNgw4UFlGzgD0,10/9/2023,VB002,Braking,-4.1868,-0.864
PFjNQA8ZCWkoDqNlTNoG,10/4/2023,VB002,Braking,-3.0574,-1.4458
tcMV3HP0hEveWrhbjJuf,10/4/2023,VB002,Braking,-1.0212,-1.5162
LkoLHOOSfikPRX0N2lMu,10/2/2023,VB002,Braking,-1.9169,-4.1573
jmBNe0m73olni9LTbcwN,10/2/2023,VB002,Braking,-3.1993,-2.1252
va34W38dDPxBEmlj2LZH,9/18/2023,VB002,Braking,-3.3938,-4.8589
4nA7pP1JkGk6lIysALiB,9/18/2023,VB002,Braking,-7.0024,-6.2968
Gs5OZc7sb6oZyhs0AXFF,10/9/2023,VB003,Braking,7.8134,3.9066
i6Z9fTOKko6RQannHg1p,10/9/2023,VB003,Braking,10.5869,11.5771
ilTtYZuJuS97UULAvzTg,10/4/2023,VB003,Braking,10.6557,10.464
CRu4aThlTXSOt7gbIFeN,10/4/2023,VB003,Braking,9.6849,5.9734
zJ740TSJETzMCgXRpLPD,10/2/2023,VB003,Braking,9.1652,6.7562
OdOn6gXtx9haO2Kya1T2,10/2/2023,VB003,Braking,13.6338,11.8642
q5Cp7UCZdU5pbF5ATh6l,9/18/2023,VB003,Braking,9.5923,9.1117
TfPr1ToSGQSnxNklM7vr,9/18/2023,VB003,Braking,11.194,7.8547
uRUSswA2wRee9shpfmVW,10/9/2023,VB004,Braking,0.0,1.9024
O9zdn3I2vXzsRPpvSRRc,10/9/2023,VB004,Braking,-1.8065,4.2086
WmjcwjZZbV0sSDQo32JL,10/4/2023,VB004,Braking,-6.4496,-0.7397
IzhdqT0dk9bM3SjpBTMh,10/4/2023,VB004,Braking,-6.0565,4.9538
l1xwF54vQUpaK2eDRTic,10/2/2023,VB004,Braking,-0.4087,0.4412
w6KdBGeVQayTEF3ix2uQ,10/2/2023,VB004,Braking,1.9011,3.6888
bkFohl2oglYHVcAmdes8,9/18/2023,VB004,Braking,7.1869,9.0177
orQl0j5kmyEozY85pKis,9/18/2023,VB004,Braking,3.3533,7.2771
f11Z6XpfwYA5iUm8fa0W,10/9/2023,VB005,Braking,-1.2099,-0.6968
m22Kf44gQ90FRwWA1YNM,10/9/2023,VB005,Braking,-3.1268,-4.1014
ulTdcIZNlXTZN6A5DJwz,10/4/2023,VB005,Braking,-2.1015,1.4483
sYwMUknHssH5VkKUwZPF,10/4/2023,VB005,Braking,-1.2848,-6.7119
zHwkl0GBxD9S8pgIY7bd,10/2/2023,VB005,Braking,2.6828,0.7271
5ec6hQa6g8Owy6dxp490,10/2/2023,VB005,Braking,-5.9572,-5.3715
xOOLO95vihQ8qMq6E94Q,9/18/2023,VB005,Braking,-2.182,-5.8089
ytD0IZr1E0nxxFYuvp0f,9/18/2023,VB005,Braking,-1.5925,-4.8677
WTnjoAdio68CqWSlf5nw,10/9/2023,VB006,Braking,1.6845,6.0868
hTE5iB3meoV5Wlui1WNY,10/9/2023,VB006,Braking,5.7121,0.2169
1Lc9qKYYbaaBNxw8S93z,10/4/2023,VB006,Braking,4.2945,11.1722
T8tPtfykJmlEK6NPHGqr,10/4/2023,VB006,Braking,1.8684,4.301
vHkvrzUk35W7KrBPEM1w,10/2/2023,VB006,Braking,6.8838,7.882
r3b0Nb7cCjgQ424vZ2QE,10/2/2023,VB006,Braking,5.9659,7.7043
mChEgLKXXg9DMA6HXkTl,9/18/2023,VB006,Braking,-2.9173,-0.7743
Fu1Dq5S3B7bA7hDDAG47,9/18/2023,VB006,Braking,0.626,0.428
PHxGuk6jSbdInuqAFpYa,10/9/2023,VB007,Braking,-4.7619,-8.0433
qFbQRqAQ0x60TCIaR907,10/9/2023,VB007,Braking,-5.3068,-10.2977
FhPimz5bi4NSKOw7lpZC,10/4/2023,VB007,Braking,-10.3286,-8.3264
IXzT7mZ4z4LoRyLpt05Q,10/4/2023,VB007,Braking,-2.9895,-5.7173
O2lHnsSU8n7vQTwQdRPg,10/2/2023,VB007,Braking,-4.3277,-6.2577
1kpXqoi37oOke6fiJfO3,10/2/2023,VB007,Braking,-2.6856,-6.9507
rQbghp21vZ7hjgK0FKp4,9/18/2023,VB007,Braking,-7.9389,-9.7672
BOcSI1K5edIt74UwSgWR,9/18/2023,VB007,Braking,-7.855,-8.3781
SVbx4gUSJ1gwobZemYyC,10/9/2023,VB008,Braking,5.1282,7.1823
w0kDTQVA779dmqIVGRly,10/9/2023,VB008,Braking,4.9199,5.8687
MCduHfwkAcs4azWQ1ICM,10/4/2023,VB008,Braking,5.0865,9.8555
4jV3yAu69wxrKNDEba7j,10/4/2023,VB008,Braking,6.1203,7.938
Et0H4RP41DQ28l0GntN4,10/2/2023,VB008,Braking,6.876,11.4085
YgQapfcj9qr8qpna0vui,10/2/2023,VB008,Braking,7.9045,11.2436
xXqijLA69HDuIxUFUzRN,9/18/2023,VB008,Braking,7.7096,10.4949
WCq0JjoMb97OJcAuVq1R,10/9/2023,VB009,Braking,-4.0318,-7.5572
FUBVPYkLQnLyGpEsCjpE,10/9/2023,VB009,Braking,-4.5949,-8.9563
T7LdVhWic916RiLyOUg2,10/4/2023,VB009,Braking,-8.6266,-12.9721
BFdYF8FPOCk4cvrZR56O,10/4/2023,VB009,Braking,-0.8917,-1.6479
wUtGqAGwWeLSg552iQ1b,10/2/2023,VB009,Braking,-4.6608,-8.6918
yFpB4EmcO9rk3DOZC6Ls,10/2/2023,VB009,Braking,-3.5514,-13.0339
fojrWPdZ3TS6jmbuMqaq,9/18/2023,VB009,Braking,-3.8632,-13.6527
LbIfUwhEuiVCow37JLyB,9/18/2023,VB009,Braking,-9.8724,-13.2359
HpO3RA00ZYJd0WRNopVD,10/9/2023,VB010,Braking,3.1359,2.0046
oXx39a1H84kahtlXZEOS,10/9/2023,VB010,Braking,0.5236,3.508
0lQVaj6zU4MhkJDqWSAa,10/4/2023,VB010,Braking,5.314,4.8862
xjykqfO2czgfITAObTRK,10/4/2023,VB010,Braking,-0.431,6.2893
7LFEpWWgxpry9T5YDNaI,10/2/2023,VB010,Braking,5.0177,6.7589
