TestId,Date,Athlete Code,Stage,L|R Peak Force,L|R Avg. Force
mFICd3tBSVdiv6XNCGql,10/16/2023,WBB001,Braking,6.3437,6.7172
6JSmyXRCN0vmrtg9aO1Y,10/16/2023,WBB001,Braking,8.9219,6.1856
9h81t20vfI9C1OZlZbUd,10/9/2023,WBB001,Braking,8.8077,4.0307
q0jKZ4MrSdxghNX8EsH4,10/9/2023,WBB001,Braking,9.9878,14.2496
2NBsjnSROonbG03tembq,10/2/2023,WBB001,Braking,6.4034,6.4876
PYued3DopVIDBkGwZrJL,10/2/2023,WBB001,Braking,8.4918,2.7999
JbODU4dBojKRFs609bTn,9/25/2023,WBB001,Braking,3.7576,5.1854
Q3qBAw1L0ZRjO6DgZBKD,9/25/2023,WBB001,Braking,6.4695,7.536
OJoW3alWsqdbQ6v2ggyv,9/18/2023,WBB001,Braking,8.6331,4.7071
yXmYVNroV4GGjXnlPQcy,9/18/2023,WBB001,Braking,12.476,9.6993
Wx5FUExqtkiL36PeTEqA,9/11/2023,WBB001,Braking,5.8608,3.6818
bnLyENusOzoHbqKuBf75,9/11/2023,WBB001,Braking,6.7985,4.9344
Tl7094BrPYN1jq9NScxE,10/16/2023,WBB002,Braking,-4.3393,-11.9064
jODdZyTVbRxL7Xk3yBDP,10/16/2023,WBB002,Braking,-2.9759,-12.5189
XTMxy2c9rLZxBNq95Ghq,10/9/2023,WBB002,Braking,-1.8501,-8.7095
oaWKQsBdpSDsKei9vbxa,10/9/2023,WBB002,Braking,-4.6434,-13.1387
JCpIKJSDawoyKcG3a4sf,10/2/2023,WBB002,Braking,-5.8704,-12.5715
K05DOrf5Fy4NVP4mfcXT,10/2/2023,WBB002,Braking,-3.7602,-9.755
NXPUhv1Y0ucIk60EiTHc,9/25/2023,WBB002,Braking,-4.042,-11.1218
gJUKt6ZVvfLiBh2vnG7x,9/25/2023,WBB002,Braking,1.4815,-9.4448
2bYprg1dAUN6eLkYD2Jg,9/18/2023,WBB002,Braking,-0.4669,-4.3569
aTWo8mUXxzLXfSLkRgME,9/18/2023,WBB002,Braking,1.8577,-2.4464
Fi6mKZ8HYORuCC6GLbCr,9/11/2023,WBB002,Braking,-4.3197,-13.1248
6Q6nOspgnSa3jYkyzQTf,9/11/2023,WBB002,Braking,-2.0712,-10.1374
GcCzExeY2Y7Q6FjzQiNs,10/16/2023,WBB003,Braking,-1.6314,3.4299
84H8nbSpOS3km0ofkTEZ,10/16/2023,WBB003,Braking,0.9687,9.5826
awb7nhWiGRsFExQPQ73S,10/9/2023,WBB003,Braking,7.1923,13.1983
sX8DQvstBHxDR3Sh9iuc,10/9/2023,WBB003,Braking,5.7702,12.1826
2xe1fcbiVQHx2akU4lbj,10/2/2023,WBB003,Braking,6.2321,10.0518
6cGpKlCdSFNBjjb9KTQN,10/2/2023,WBB003,Braking,6.2127,13.5483
kpqFXjO8vZjsN3DN0RPC,9/25/2023,WBB003,Braking,7.8044,13.9183
s6H8HxCopS7DW9nkOekF,9/25/2023,WBB003,Braking,3.5222,9.6032
VSoyVU1LJT6UAhHHEfHG,9/18/2023,WBB003,Braking,4.7266,15.937
sqSC60xteliQsiXPiBDM,9/18/2023,WBB003,Braking,1.1149,3.202
0wO7wNx1P1bdhnB5bx0j,9/11/2023,WBB003,Braking,6.0742,7.5647
Dj6AXmo666DEhUbiveaz,9/11/2023,WBB003,Braking,7.6589,12.5362
3AU1szdMUCAqsS7VV4iF,9/18/2023,WBB004,Braking,6.7889,7.0353
UJdYC1A42jPEturfm9RB,9/18/2023,WBB004,Braking,11.6146,13.2017
ZsfJJK6zQzU0VRKKqqWc,10/16/2023,WBB005,Braking,-0.0591,-1.2818
vQIrpUrVrpSfEENOBxJz,10/16/2023,WBB005,Braking,-2.6515,-1.3126
ZOlGCCj7GFbZ2R3SXTcR,10/9/2023,WBB005,Braking,1.2138,-4.8359
nfPforvXXUxmuzZ4uzSZ,10/9/2023,WBB005,Braking,-3.8669,-15.6423
b25uoHScL1nMiuQm8x8I,10/2/2023,WBB005,Braking,4.0301,3.9432
4yi7JBzIekxJAItacyet,10/2/2023,WBB005,Braking,7.8222,4.0296
ZJCgKzfDxkvGWEJAdeUa,9/25/2023,WBB005,Braking,-0.5382,-1.2606
Y6pKj8k9IKZYFGFdpOw1,9/25/2023,WBB005,Braking,-5.9669,-5.7397
bSDwpTD0RpbUTSn1Nbws,9/18/2023,WBB005,Braking,2.0747,-0.5431
QFNWrWhciOQzLwNpqe3v,9/18/2023,WBB005,Braking,-2.2614,-5.1665
IbUlsd8gkif24cp1amxM,9/11/2023,WBB005,Braking,2.9428,-5.058
tBzxp6etmFWBS5UJv0f0,9/11/2023,WBB005,Braking,3.8207,-2.138
AHPuTqbzL3QKxHFxKQ0s,10/16/2023,WBB006,Braking,2.8152,4.2774
u8egKoIyoNdEzDEwRIRp,10/16/2023,WBB006,Braking,3.97,3.7635
FQPTNFU9DiB5VczSFkf3,10/9/2023,WBB006,Braking,6.8622,10.5858
YO1uyQSn3TAJjxR7NI3u,10/9/2023,WBB006,Braking,6.5827,8.4153
