"","TestId","Date","Time","Athlete Code","Type","Excluded","Tags","System Weight","Jump Height","Jump Momentum","Countermovement Depth","Braking RFD","Stiffness","Force at Min Displacement","Relative Force at Min Displacement","Avg. Braking Force","Avg. Relative Braking Force","Peak Braking Force","Peak Relative Braking Force","Avg. Propulsive Force","Avg. Relative Propulsive Force","Peak Propulsive Force","Peak Relative Propulsive Force","Unweighting Phase","Unweighting Phase %","Braking Phase","Braking Phase %","Propulsive Phase","Propulsive Phase %","Flight Time","Time To Takeoff","Braking Net Impulse","Propulsive Net Impulse","Positive Impulse","Positive Net Impulse","Impulse Ratio","Avg. Braking Velocity","Peak Braking Velocity","Avg. Propulsive Velocity","Takeoff Velocity","Peak Velocity","Avg. Braking Power","Avg. Relative Braking Power","Peak Braking Power","Peak Relative Braking Power","Avg. Propulsive Power","Avg. Relative Propulsive Power","Peak Relative Propulsive Power","Peak Propulsive Power","L|R Peak Braking Force","Left Force at Peak Braking Force","Right Force at Peak Braking Force","L|R Avg. Braking Force","Left Avg. Braking Force","Right Avg. Braking Force","L|R Peak Propulsive Force","Left Force at Peak Propulsive Force","Right Force at Peak Propulsive Force","L|R Avg. Propulsive Force","Left Avg. Propulsive Force","Right Avg. Propulsive Force","L|R Avg. Braking RFD","Left Avg. Braking RFD","Right Avg. Braking RFD","L|R Braking Impulse Index","L|R Propulsive Impulse Index","Time to Stabilization","Landing Stiffness","Peak Landing Force","Avg. Landing Force","Relative Peak Landing Force","L|R Peak Landing Force","Left Force at Peak Landing Force","Right Force at Peak Landing Force","L|R Avg. Landing Force","Left Avg. Landing Force","Right Avg. Landing Force","L|R Landing Impulse Index","RSI","mRSI","Braking Impulse","Relative Braking Impulse","Relative Braking Net Impulse","Propulsive Impulse","Relative Propulsive Impulse","Relative Propulsive Net Impulse"
"1","mFICd3tBSVdiv6XNCGql","10/16/2023",08:32:07,"WBB001","Countermovement Jump",NA,NA,647.441,0.2545,147.4651,-0.1961,10129.6296,-8855.674,1737,268.287,1402.1481,216.5677,1734,267.8236,1362.7585,210.4838,1754,270.9127,0.268,45.9691,0.108,18.5249,0.207,35.506,0.456,0.583,80.9494,148.9207,433.814,229.8701,1.8397,-0.7526,-1.2395,1.5015,2.2344,2.3883,-956.6751,-14.4955,-1427.3204,-21.6267,1771.3798,26.8399,45.0074,2970.401,6.3437,922,812,6.7172,748.1667,653.9815,4.7891,919,835,0.7526,686.5072,676.2512,-1.2797,5000,5129.6296,12.6383,1.5396,NA,-7484.8402,2486,812.1337,383.9732,-4.103,1192,1294,-9.233,368.5746,443.5591,NA,0.7822,0.4365,150.873,2.286,1.2265,282.941,4.2871,2.2564
"2","6JSmyXRCN0vmrtg9aO1Y","10/16/2023",08:31:53,"WBB001","Countermovement Jump",NA,NA,646.96,0.2601,148.9823,-0.2085,8041.3223,-7740.33,1614,249.4745,1250.562,193.2982,1614,249.4745,1345.9155,208.0369,1625,251.1747,0.284,45.9547,0.121,19.5793,0.213,34.466,0.461,0.618,72.5443,149.669,438.298,222.2134,2.0631,-0.7006,-1.1012,1.4529,2.2591,2.3855,-783.6966,-11.8834,-1082.3591,-16.4121,1733.3453,26.2831,44.5728,2939.5345,8.9219,879,735,6.1856,663.9587,586.6033,8.6769,883,742,5.2121,708.0329,637.8826,13.4635,4561.9835,3479.3388,11.6082,9.9362,1740,-6105.7696,2482,732.7443,383.6404,-4.5125,1185,1297,4.7541,383.7897,348.9546,9.0736,0.746,0.4209,150.8265,2.287,1.1,287.4715,4.359,2.2695
"3","9h81t20vfI9C1OZlZbUd","10/9/2023",17:28:44,"WBB001","Countermovement Jump",NA,NA,648.692,0.2714,152.5899,-0.2058,8284.5528,-8110.7848,1669,257.287,1271.935,196.0769,1669,257.287,1366.1455,210.6,1705,262.8366,0.25,42.6621,0.123,20.9898,0.213,36.3481,0.467,0.586,76.1414,153.6376,447.7395,229.779,2.0178,-0.7309,-1.158,1.4897,2.3076,2.428,-834.5479,-12.6206,-1126.5533,-17.0366,1796.3626,27.1659,45.0048,2975.9666,8.8077,908,761,4.0307,661.6016,610.3333,6.7449,910,795,4.006,710.4366,655.7089,9.1266,4520.3252,3764.2276,7.7199,7.7383,930,-7812.5574,2159,813.6688,332.8236,-11.6258,954,1205,1.2649,411.9806,401.6882,2.4983,0.7969,0.4631,155.9305,2.3581,1.1515,291.809,4.413,2.3234
"4","q0jKZ4MrSdxghNX8EsH4","10/9/2023",17:28:37,"WBB001","Countermovement Jump",NA,NA,649.81,0.2485,146.2558,-0.1784,8649.1228,-9201.5861,1642,252.6892,1263.5,194.4415,1642,252.6892,1386.2261,213.3279,1742,268.0784,0.297,48.6885,0.114,18.6885,0.199,32.623,0.451,0.61,69.4607,147.3498,420.201,216.8105,2.1213,-0.6691,-1.0558,1.4629,2.208,2.3564,-758.6833,-11.4536,-1041.7043,-15.7263,1765.4806,26.653,45.8566,3037.5209,9.9878,903,739,14.2496,721.7719,541.7281,4.822,913,829,1.5004,703.5126,682.7136,-3.854,4157.8947,4491.2281,25.0389,3.0181,820,-9640.7656,3439,826.9988,529.2316,-8.7525,1569,1870,-0.1783,412.7622,414.2366,-0.3617,0.7393,0.4073,143.539,2.167,1.0486,276.662,4.1767,2.2245
"5","2NBsjnSROonbG03tembq","10/2/2023",17:23:32,"WBB001","Countermovement Jump",NA,NA,648.495,0.264,150.449,-0.2046,8475,-8167.7779,1671,257.6735,1287.1917,198.4891,1671,257.6735,1350.9626,208.3227,1684,259.6782,0.246,42.4138,0.12,20.6897,0.214,36.8966,0.464,0.58,76.1276,151.1496,443.8745,227.2772,1.9855,-0.7247,-1.1528,1.4862,2.2759,2.4052,-836.0086,-12.6466,-1158.4506,-17.5243,1767.1201,26.7318,44.1294,2917.1994,6.4034,889,782,6.4876,685.35,601.8417,5.1069,885,799,2.4946,692.3318,658.6308,-3.8348,4075,4400,12.2437,4.8986,840,-7777.3011,2246,830.7048,346.3404,-9.528,1016,1230,-4.7381,395.6726,435.0321,-9.0519,0.8,0.4552,153.947,2.3288,1.1516,289.9275,4.3858,2.2865
"6","PYued3DopVIDBkGwZrJL","10/2/2023",17:23:17,"WBB001","Countermovement Jump",NA,NA,649.71,0.2523,147.3664,-0.224,7000,-7061.7228,1582,243.4933,1197.2955,184.2815,1578,242.8776,1359.8365,209.299,1634,251.4968,0.291,46.1173,0.132,20.9192,0.208,32.9635,0.462,0.631,71.8143,148.4823,441.198,220.2966,2.0676,-0.6964,-1.0917,1.4186,2.2251,2.3514,-751.4619,-11.3464,-1026.131,-15.4936,1713.3271,25.8696,44.2071,2927.8062,8.4918,856,722,2.7999,615.4091,581.8864,4.7736,856,778,3.7674,705.5337,654.3029,14.9351,4022.7273,2977.2727,5.38,7.2945,950,-5054.363,2213,807.4547,340.6135,-16.9453,919,1294,-7.0271,375.3568,432.0979,-13.1333,0.7322,0.3999,157.576,2.3792,1.0843,283.622,4.2824,2.2419
"7","JbODU4dBojKRFs609bTn","9/25/2023",17:28:26,"WBB001","Countermovement Jump",NA,NA,642.214,0.2502,145.0417,-0.2029,8297.5207,-8130.3083,1650,256.9237,1269.7769,197.7187,1650,256.9237,1323.0235,206.0098,1661,258.6365,0.243,42.1144,0.121,20.9705,0.213,36.9151,0.457,0.577,75.4256,145.8249,435.75,221.2505,1.9334,-0.7253,-1.1547,1.4636,2.2156,2.3617,-826.4478,-12.6242,-1131.3539,-17.2818,1697.5267,25.9302,43.2761,2833.08,3.7576,856,794,5.1854,667.8099,601.9669,3.6725,861,800,1.0497,668.4554,654.5681,3.1873,4280.9917,4016.5289,9.8712,2.1018,1040,-5311.2598,2290,786.8,356.579,-14.1485,983,1307,-5.4757,371.8587,414.9413,-10.3911,0.792,0.4336,153.1335,2.3392,1.1521,282.6165,4.317,2.2275
"8","Q3qBAw1L0ZRjO6DgZBKD","9/25/2023",17:28:18,"WBB001","Countermovement Jump",NA,NA,642.715,0.2508,145.3256,-0.193,8330.5085,-8408.2649,1623,252.5225,1264.2203,196.7,1623,252.5225,1355.1765,210.8519,1680,261.3911,0.387,54.5839,0.118,16.6432,0.204,28.7729,0.454,0.709,72.8391,146.1391,425.9325,218.9783,2.0063,-0.6949,-1.1149,1.444,2.2182,2.342,-791.6836,-12.0838,-1113.8621,-17.0013,1721.5463,26.2766,43.4929,2849.4926,6.4695,864,759,7.536,679.7458,584.4746,4.881,881,799,1.6936,689.0637,666.1127,0.9156,4203.3898,4127.1186,14.0542,3.375,870,-6312.9915,2314,809.0172,360.0352,-5.618,1092,1222,2.0955,412.9851,396.0322,4.1001,0.6403,0.3537,148.6795,2.2694,1.1118,277.253,4.2318,2.2306
"9","OJoW3alWsqdbQ6v2ggyv","9/18/2023",17:29:00,"WBB001","Countermovement Jump",NA,NA,634.311,0.2518,143.7303,-0.1851,9363.6364,-9013.6672,1668,262.9625,1276.2182,201.1975,1668,262.9625,1350.8507,212.9635,1702,268.3226,0.361,53.7202,0.11,16.369,0.201,29.9107,0.453,0.672,70.0873,144.841,412.199,214.9283,2.0666,-0.6872,-1.0918,1.4613,2.2229,2.3524,-786.2788,-12.1603,-1069.2914,-16.5372,1725.0389,26.6788,44.2447,2860.8473,8.6331,906,762,4.7071,668.1455,608.0727,7.168,912,790,2.7088,693.7214,657.1294,11.4563,5218.1818,4145.4545,8.9454,5.3216,910,-9397.4615,1976,792.6978,311.5191,-2.1255,967,1009,-5.9201,372.8846,419.8132,-11.1721,0.6741,0.3748,139.8615,2.163,1.0839,272.3375,4.2119,2.2401
"10","yXmYVNroV4GGjXnlPQcy","9/18/2023",17:28:52,"WBB001","Countermovement Jump",NA,NA,634.85,0.2344,138.7672,-0.1629,8043.1034,-9653.8664,1573,247.7751,1191.7845,187.7269,1563,246.1999,1375.3564,216.6427,1776,279.7511,0.285,48.3871,0.116,19.6944,0.188,31.9185,0.442,0.589,64.1309,139.9807,397.106,204.1116,2.1827,-0.6279,-1.0005,1.4313,2.1443,2.2917,-677.827,-10.4741,-941.4132,-14.5472,1703.5527,26.3241,45.2041,2925.3625,12.476,879,684,9.6993,653.6897,538.0948,6.0811,942,834,3.0278,708.5,666.8564,8.0386,4344.8276,3698.2759,17.6912,5.9433,920,-7747.5313,2958,786.8054,465.9368,-4.8005,1408,1550,-18.552,320.4185,466.387,-31.2953,0.7504,0.3979,137.7735,2.1289,0.991,259.3325,4.0073,2.163
